flow duration,total fwd packets,total backward packets,total length of fwd packets,total length of bwd packets,fwd packet length max,fwd packet length min,fwd packet length mean,fwd packet length std,bwd packet length max,bwd packet length min,bwd packet length mean,bwd packet length std,flow bytes/s,flow packets/s,flow iat mean,flow iat std,flow iat max,flow iat min,fwd iat total,fwd iat mean,fwd iat std,fwd iat max,fwd iat min,bwd iat total,bwd iat mean,bwd iat std,bwd iat max,bwd iat min,fwd psh flags,bwd psh flags,fwd urg flags,bwd urg flags,fwd header length,bwd header length,fwd packets/s,bwd packets/s,min packet length,max packet length,packet length mean,packet length std,packet length variance,fin flag count,syn flag count,rst flag count,psh flag count,ack flag count,urg flag count,cwe flag count,ece flag count,down/up ratio,average packet size,avg fwd segment size,avg bwd segment size,fwd header length.1,fwd avg bytes/bulk,fwd avg packets/bulk,fwd avg bulk rate,bwd avg bytes/bulk,bwd avg packets/bulk,bwd avg bulk rate,subflow fwd packets,subflow fwd bytes,subflow bwd packets,subflow bwd bytes,init_win_bytes_forward,init_win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,active mean,active std,active max,active min,idle mean,idle std,idle max,idle min,label
5499242,7,4,617,164,517,0,88.14285714,189.9889721,152,0,41,74.05403433,142.0195729,2.000275674,549924.2,1702283.231,5394424,3,5499242,916540.3333,2222627.402,5453423,3,85238,28412.66667,32011.08749,63398,589,0,0,0,0,160,92,1.272902702,0.727372973,0,517,65.08333333,148.7233297,22118.62879,0,0,0,1,0,0,0,0,0,71,88.14285714,41,160,0,0,0,0,0,0,7,617,4,164,29200,30,6,20,104815,0,104815,104815,5394424,0,5394424,5394424,0
91205137,19,15,903,4571,583,0,47.52631579,139.5398662,2629,0,304.7333333,745.8798703,60.01854917,0.37278602,2763792.03,4531973.854,10205226,8,91205137,5066952.056,5175621.13,10256004,154,91154033,6511002.357,4993285.988,10256131,161,0,0,0,0,616,488,0.208321599,0.164464421,0,2629,156.4,506.3978441,256438.7765,0,0,0,1,0,0,0,0,0,161,47.52631579,304.7333333,616,0,0,0,0,0,0,19,903,15,4571,29200,123,3,32,88707.77778,113258.7333,390731,50778,10045178.33,373012.3937,10205226,9064596,0
5471584,7,4,617,164,517,0,88.14285714,189.9889721,152,0,41,74.05403433,142.7374596,2.010386755,547158.4,1692222.603,5363015,4,5471584,911930.6667,2209931.93,5422899,44,88735,29578.33333,35340.17182,68716,4,0,0,0,0,160,92,1.279337026,0.731049729,0,517,65.08333333,148.7233297,22118.62879,0,0,0,1,0,0,0,0,0,71,88.14285714,41,160,0,0,0,0,0,0,7,617,4,164,29200,30,6,20,108525,0,108525,108525,5363015,0,5363015,5363015,0
178089,1,1,54,172,54,54,54,0,172,172,172,0,1269.028407,11.23033989,178089,0,178089,178089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,5.615169943,5.615169943,54,172,93.33333333,68.12733176,4641.333333,0,0,0,0,0,0,0,0,1,140,54,172,32,0,0,0,0,0,0,1,54,1,172,-1,-1,0,32,0,0,0,0,0,0,0,0,0
116084657,22,21,1001,5960,544,0,45.5,120.9178194,1460,0,283.8095238,538.1002341,59.96485823,0.370419323,2763920.405,4440004.378,10167113,10,116084657,5527840.81,4971123.793,10199646,49,111036801,5551840.05,5119428.482,10199459,48,0,0,0,0,452,428,0.189516863,0.18090246,0,1460,158.2045455,395.7292109,156601.6084,0,0,0,1,0,0,0,0,0,161.8837209,45.5,283.8095238,452,0,0,0,0,0,0,22,1001,21,5960,8192,5248,21,20,73051.91667,141017.4783,520842,32032,9600665.417,1445285.847,10167113,5015439,0
129619,10,5,1140,943,901,0,114,280.1793077,805,0,188.6,349.7210317,16070.1749,115.7237751,9258.5,15005.19194,35985,1,129619,14402.11111,20866.83397,52285,1,90732,22683,17647.7507,37134,208,0,0,0,0,332,168,77.14918338,38.57459169,0,901,130.1875,286.6301261,82156.82917,0,0,0,1,0,0,0,0,0,138.8666667,114,188.6,332,0,0,0,0,0,0,10,1140,5,943,65535,362,5,32,0,0,0,0,0,0,0,0,0
117840556,17,19,1003,6488,229,0,59,76.1675784,1460,0,341.4736842,549.7068278,63.5689465,0.30549754,3366873.029,13797960.52,58977651,0,117840556,7365034.75,20003214.67,58977651,4,117762564,6542364.667,18956894.74,58996697,3,0,0,0,0,352,392,0.144262727,0.161234813,0,1460,202.4594595,417.9997072,174723.7553,0,0,0,1,0,0,0,0,1,208.0833333,59,341.4736842,352,0,0,0,0,0,0,17,1003,19,6488,8192,33,16,20,274694,291046.5653,480495,68893,58606594,524753.8418,58977651,58235537,0
190505,16,15,961,18296,517,0,60.0625,140.8609095,2796,0,1219.733333,963.1974628,101083.9611,162.7253878,6350.166667,13161.80009,36389,1,190505,12700.33333,16748.38889,36690,1,155387,11099.07143,18051.74477,46802,70,0,0,0,0,524,488,83.98729692,78.73809086,0,2796,601.78125,881.193792,776502.499,0,0,0,1,0,0,0,0,0,621.1935484,60.0625,1219.733333,524,0,0,0,0,0,0,16,961,15,18296,65535,118,5,32,0,0,0,0,0,0,0,0,0
5295964,7,4,617,164,517,0,88.14285714,189.9889721,152,0,41,74.05403433,147.470791,2.077053394,529596.4,1639727.998,5196033,4,5295964,882660.6667,2142327.052,5255622,4,80309,26769.66667,30310.57671,59846,322,0,0,0,0,160,92,1.321761251,0.755292143,0,517,65.08333333,148.7233297,22118.62879,0,0,0,1,0,0,0,0,0,71,88.14285714,41,160,0,0,0,0,0,0,7,617,4,164,29200,30,6,20,99927,0,99927,99927,5196033,0,5196033,5196033,0
33127,2,2,0,12,0,0,0,0,6,6,6,0,362.2422797,120.7474266,11042.33333,19033.23473,33020,28,33127,33127,0,33127,33127,79,79,0,79,79,0,0,0,0,64,40,60.37371329,60.37371329,0,6,2.4,3.286335345,10.8,0,0,0,0,1,0,0,0,1,3,0,6,64,0,0,0,0,0,0,2,0,2,12,61,0,0,32,0,0,0,0,0,0,0,0,0
85055,2,2,12,0,6,6,6,0,0,0,0,0,141.0851802,47.02839339,28351.66667,48997.44717,84929,1,1,1,0,1,1,84929,84929,0,84929,84929,0,0,0,0,40,64,23.5141967,23.5141967,0,6,3.6,3.286335345,10.8,1,0,0,0,0,0,0,0,1,4.5,6,0,40,0,0,0,0,0,0,2,12,2,0,0,116,1,20,0,0,0,0,0,0,0,0,0
30461,1,1,52,151,52,52,52,0,151,151,151,0,6664.259217,65.65772627,30461,0,30461,30461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,44,32.82886314,32.82886314,52,151,85,57.15767665,3267,0,0,0,0,0,0,0,0,1,127.5,52,151,32,0,0,0,0,0,0,1,52,1,151,-1,-1,0,32,0,0,0,0,0,0,0,0,0
115751568,41,41,1100,56204,723,0,26.82926829,117.7155263,4344,0,1370.829268,1250.987768,495.0602483,0.70841373,1429031.704,3472625.324,10024848,3,115751568,2893789.2,4529369.481,10048028,3,110668031,2766700.775,4538990.494,10048412,76,0,0,0,0,1320,1320,0.354206865,0.354206865,0,4344,690.4096386,1107.983557,1227627.562,0,0,0,1,0,0,0,0,1,698.8292683,26.82926829,1370.829268,1320,0,0,0,0,0,0,41,1100,41,56204,29200,1018,4,32,38780.75,53578.23808,208914,23178,9607183,1431961.195,10024848,5060184,0
368,2,0,12,0,6,6,6,0,0,0,0,0,32608.69565,5434.782609,368,0,368,368,368,368,0,368,368,0,0,0,0,0,0,0,0,0,40,0,5434.782609,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,16210,-1,1,20,0,0,0,0,0,0,0,0,0
4,3,0,76,0,45,0,25.33333333,23.02896727,0,0,0,0,19000000,750000,2,1.414213562,3,1,4,2,1.414213562,3,1,0,0,0,0,0,1,0,0,0,96,0,750000,0,0,45,30.25,21.21909517,450.25,0,1,0,0,1,0,0,0,0,40.33333333,25.33333333,0,96,0,0,0,0,0,0,3,76,0,0,118,-1,1,32,0,0,0,0,0,0,0,0,0
30297,1,1,39,71,39,39,39,0,71,71,71,0,3630.722514,66.01313661,30297,0,30297,30297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,33.00656831,33.00656831,39,71,49.66666667,18.47520861,341.3333333,0,0,0,0,0,0,0,0,1,74.5,39,71,20,0,0,0,0,0,0,1,39,1,71,-1,-1,0,20,0,0,0,0,0,0,0,0,0
167499,7,10,1069,5202,517,0,152.7142857,207.353735,1460,2,520.2,676.1393348,37439.02949,101.4931432,10468.6875,17915.25158,40774,2,126554,21092.33333,22688.95003,43603,3,126948,14105.33333,20230.35365,41263,2,0,0,0,0,152,204,41.79129428,59.70184897,0,1460,348.3888889,545.4107075,297472.8399,0,0,0,1,0,0,0,0,1,368.8823529,152.7142857,520.2,152,0,0,0,0,0,0,7,1069,10,5202,8192,40229,6,20,0,0,0,0,0,0,0,0,0
115,2,0,0,0,0,0,0,0,0,0,0,0,0,17391.30435,115,0,115,115,115,115,0,115,115,0,0,0,0,0,0,0,0,0,64,0,17391.30435,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,1384,-1,0,32,0,0,0,0,0,0,0,0,0
10119188,8,5,673,4999,517,0,84.125,179.9717736,1821,0,999.8,813.6038348,560.5192828,1.28468806,843265.6667,2873828.753,9968712,4,10119188,1445598.286,3758447.462,9968712,17,73223,18305.75,21373.03004,41561,83,0,0,0,0,172,112,0.790577268,0.494110792,0,1821,405.1428571,658.1547465,433167.6703,0,0,0,1,0,0,0,0,0,436.3076923,84.125,999.8,172,0,0,0,0,0,0,8,673,5,4999,8192,237,7,20,0,0,0,0,0,0,0,0,0
